row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,hierarchy_total_tokens,hierarchy_avg_tokens,hierarchy_max_tokens,hierarchy_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Hierarchy1_tokens,Hierarchy2_tokens,Hierarchy3_tokens
195,10,5762,5772,1613,537.67,1202,0.279938,2589,863.0,863,0.449323,142,1202,269,863,863,863
196,10,4846,4856,1332,444.0,858,0.274866,2589,863.0,863,0.534255,246,228,858,863,863,863
197,10,9518,9528,6323,2107.67,5288,0.66432,2498,832.67,863,0.26245,5288,488,547,863,863,772
198,10,5438,5448,2224,741.33,1404,0.408974,2315,771.67,863,0.425708,701,1404,119,863,863,589
199,10,7833,7843,4661,1553.67,1946,0.595047,2589,863.0,863,0.330525,1683,1946,1032,863,863,863
200,10,6896,6906,2708,902.67,1689,0.392691,2498,832.67,863,0.362239,1689,404,615,863,863,772
201,10,7316,7326,4413,1471.0,3641,0.603198,2283,761.0,1227,0.312056,296,3641,476,284,1227,772
202,10,5792,5802,1325,441.67,703,0.228764,2589,863.0,863,0.446996,209,703,413,863,863,863
203,10,10128,10138,7469,2489.67,5551,0.737461,1759,586.33,863,0.173677,1027,5551,891,863,448,448
204,10,5748,5758,2982,994.0,1299,0.518789,2116,705.33,863,0.368128,515,1168,1299,863,863,390
205,10,7643,7653,4577,1525.67,3127,0.598849,2589,863.0,863,0.338741,3127,259,1191,863,863,863
206,10,5077,5087,1843,614.33,931,0.36301,2589,863.0,863,0.509947,703,209,931,863,863,863
207,10,8677,8687,2486,828.67,1654,0.286505,1861,620.33,863,0.214475,455,1654,377,863,499,499
208,10,7334,7344,3743,1247.67,1840,0.510363,2589,863.0,863,0.353013,1840,506,1397,863,863,863
209,10,7872,7882,4824,1608.0,2784,0.612805,2498,832.67,863,0.317327,1896,144,2784,863,863,772
210,10,7755,7765,1833,611.0,1227,0.236364,2895,965.0,1145,0.373308,406,1227,200,1145,863,887
211,10,3754,3764,695,231.67,297,0.185136,2589,863.0,863,0.689664,297,186,212,863,863,863
212,10,7995,8005,5035,1678.33,3648,0.629769,2164,721.33,863,0.270669,3648,403,984,863,863,438
213,10,4822,4832,812,270.67,365,0.168395,2198,732.67,887,0.455827,292,155,365,863,887,448
214,10,4488,4498,1346,448.67,745,0.299911,2589,863.0,1227,0.576872,391,210,745,863,499,1227
215,10,7070,7080,3309,1103.0,2480,0.468034,2613,871.0,887,0.36959,2480,90,739,863,887,863
216,10,8735,8745,4815,1605.0,3615,0.551231,2589,863.0,863,0.296394,403,797,3615,863,863,863
217,10,5359,5369,1253,417.67,696,0.233812,2498,832.67,863,0.466132,104,696,453,863,863,772
218,10,4799,4809,1379,459.67,908,0.287352,2589,863.0,863,0.539487,908,297,174,863,863,863
